radius:12.0
size:70^25
path:data/templates/BayArea.txt
+data:
34.62603878116344,3,40,60	110.803324099723,3,40,60	6.9252077562326875,3,40,60	16.62049861495845,3,40,60	1.3850415512465375,3,40,60	41.551246537396125,3,40,60	-2.770083102493075,3,40,60	-2.770083102493075,3,40,60	6.9252077562326875,3,40,60	1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-1.3850415512465375,3,40,60
60.94182825484765,3,40,60	171.74515235457065,3,39,60	24.930747922437675,3,40,60	-1.3850415512465375,3,40,60	13.850415512465375,3,40,60	-1.3850415512465375,3,40,60	-1.3850415512465375,3,40,60	-2.770083102493075,3,40,60	-1.3850415512465375,3,40,60	1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
196.67590027700834,3,39,60	134.34903047091413,3,40,60	60.94182825484765,3,40,60	11.0803324099723,3,40,60	4.1551246537396125,3,40,60	1.3850415512465375,3,40,60	1.3850415512465375,3,40,60	1.3850415512465375,3,40,60	-5.54016620498615,3,40,60	-1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
292.2437673130194,3,38,59	164.81994459833797,3,39,60	72.02216066481995,3,40,60	105.26315789473685,3,40,60	44.3213296398892,3,40,60	8.310249307479225,3,40,60	-1.3850415512465375,3,40,60	-4.1551246537396125,3,40,60	-4.1551246537396125,3,40,60	-2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
434.90304709141276,3,37,58	274.23822714681444,3,39,59	231.30193905817177,3,39,59	95.56786703601108,3,40,60	27.70083102493075,3,40,60	8.310249307479225,3,40,60	55.4016620498615,3,40,60	-4.1551246537396125,3,40,60	-2.770083102493075,3,40,60	-2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
621.8836565096954,3,36,58	271.4681440443213,3,39,59	108.03324099722992,3,40,60	198.06094182825487,3,39,60	134.34903047091413,3,40,60	138.50415512465375,3,39,60	9.695290858725762,3,40,60	0.0,3,40,60	-2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
588.6426592797784,3,36,58	520.7756232686982,3,37,58	268.69806094182826,3,39,59	290.85872576177286,3,38,59	152.35457063711914,3,39,60	210.5263157894737,3,39,59	34.62603878116344,3,40,60	30.470914127423825,3,40,60	-1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
222.99168975069253,3,39,59	502.7700831024931,3,37,58	493.0747922437673,3,37,58	361.4958448753463,3,38,59	243.7673130193906,3,39,59	80.33240997229917,3,40,60	22.1606648199446,3,40,60	2.770083102493075,3,40,60	-4.1551246537396125,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
192.52077562326872,3,39,60	94.18282548476455,3,40,60	199.4459833795014,3,39,60	383.6565096952909,3,38,59	186.98060941828257,3,39,60	20.775623268698062,3,40,60	16.62049861495845,3,40,60	-2.770083102493075,3,40,60	-1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
382.2714681440443,3,38,59	333.79501385041556,3,38,59	69.25207756232687,3,40,60	58.171745152354575,3,40,60	45.70637119113574,3,40,60	42.93628808864266,3,40,60	1.3850415512465375,3,40,60	-2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
