radius:25.0
size:60^40
path:iwo_jima.txt
+data:
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	-2.0,3,40,60	14.0,3,40,60	14.0,3,40,60	48.0,3,40,60	78.0,3,40,60	78.0,3,40,60	88.0,3,40,60	93.0,3,40,60	93.0,3,40,60	101.0,3,39,60	101.0,3,39,60	109.0,3,39,60	107.0,3,39,60	107.0,3,39,60	115.0,3,39,60	115.0,3,39,60	112.0,3,39,60	102.0,3,39,60	102.0,3,39,60	92.0,3,40,60	61.0,3,40,60	61.0,3,40,60	40.0,3,40,60	40.0,3,40,60	18.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	9.0,3,40,60	9.0,3,40,60	45.0,3,40,60	45.0,3,40,60	56.0,3,40,60	79.0,3,40,60	79.0,3,40,60	91.0,3,40,60	103.0,3,39,60	103.0,3,39,60	106.0,3,39,60	106.0,3,39,60	107.0,3,39,60	109.0,3,39,60	109.0,3,39,60	115.0,3,39,60	115.0,3,39,60	117.0,3,39,60	119.0,3,39,60	119.0,3,39,60	104.0,3,39,60	77.0,3,40,60	77.0,3,40,60	50.0,3,40,60	50.0,3,40,60	30.0,3,40,60	10.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	9.0,3,40,60	9.0,3,40,60	45.0,3,40,60	45.0,3,40,60	56.0,3,40,60	79.0,3,40,60	79.0,3,40,60	91.0,3,40,60	103.0,3,39,60	103.0,3,39,60	106.0,3,39,60	106.0,3,39,60	107.0,3,39,60	109.0,3,39,60	109.0,3,39,60	115.0,3,39,60	115.0,3,39,60	117.0,3,39,60	119.0,3,39,60	119.0,3,39,60	104.0,3,39,60	77.0,3,40,60	77.0,3,40,60	50.0,3,40,60	50.0,3,40,60	30.0,3,40,60	10.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	30.0,3,40,60	30.0,3,40,60	51.0,3,40,60	51.0,3,40,60	67.0,3,40,60	89.0,3,40,60	89.0,3,40,60	95.0,3,40,60	105.0,3,39,60	105.0,3,39,60	107.0,3,39,60	107.0,3,39,60	103.0,3,39,60	107.0,3,39,60	107.0,3,39,60	114.0,3,39,60	114.0,3,39,60	116.0,3,39,60	114.0,3,39,60	114.0,3,39,60	110.0,3,39,60	103.0,3,39,60	103.0,3,39,60	71.0,3,40,60	71.0,3,40,60	50.0,3,40,60	22.0,3,40,60	22.0,3,40,60	1.0,3,40,60	1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	30.0,3,40,60	30.0,3,40,60	51.0,3,40,60	51.0,3,40,60	67.0,3,40,60	89.0,3,40,60	89.0,3,40,60	95.0,3,40,60	105.0,3,39,60	105.0,3,39,60	107.0,3,39,60	107.0,3,39,60	103.0,3,39,60	107.0,3,39,60	107.0,3,39,60	114.0,3,39,60	114.0,3,39,60	116.0,3,39,60	114.0,3,39,60	114.0,3,39,60	110.0,3,39,60	103.0,3,39,60	103.0,3,39,60	71.0,3,40,60	71.0,3,40,60	50.0,3,40,60	22.0,3,40,60	22.0,3,40,60	1.0,3,40,60	1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	19.0,3,40,60	42.0,3,40,60	42.0,3,40,60	62.0,3,40,60	62.0,3,40,60	76.0,3,40,60	94.0,3,40,60	94.0,3,40,60	99.0,3,40,60	103.0,3,39,60	103.0,3,39,60	106.0,3,39,60	106.0,3,39,60	106.0,3,39,60	108.0,3,39,60	108.0,3,39,60	105.0,3,39,60	105.0,3,39,60	109.0,3,39,60	115.0,3,39,60	115.0,3,39,60	114.0,3,39,60	106.0,3,39,60	106.0,3,39,60	103.0,3,39,60	103.0,3,39,60	64.0,3,40,60	36.0,3,40,60	36.0,3,40,60	5.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	19.0,3,40,60	42.0,3,40,60	42.0,3,40,60	62.0,3,40,60	62.0,3,40,60	76.0,3,40,60	94.0,3,40,60	94.0,3,40,60	99.0,3,40,60	103.0,3,39,60	103.0,3,39,60	106.0,3,39,60	106.0,3,39,60	106.0,3,39,60	108.0,3,39,60	108.0,3,39,60	105.0,3,39,60	105.0,3,39,60	109.0,3,39,60	115.0,3,39,60	115.0,3,39,60	114.0,3,39,60	106.0,3,39,60	106.0,3,39,60	103.0,3,39,60	103.0,3,39,60	64.0,3,40,60	36.0,3,40,60	36.0,3,40,60	5.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	19.0,3,40,60	42.0,3,40,60	42.0,3,40,60	62.0,3,40,60	62.0,3,40,60	76.0,3,40,60	94.0,3,40,60	94.0,3,40,60	99.0,3,40,60	103.0,3,39,60	103.0,3,39,60	106.0,3,39,60	106.0,3,39,60	106.0,3,39,60	108.0,3,39,60	108.0,3,39,60	105.0,3,39,60	105.0,3,39,60	109.0,3,39,60	115.0,3,39,60	115.0,3,39,60	114.0,3,39,60	106.0,3,39,60	106.0,3,39,60	103.0,3,39,60	103.0,3,39,60	64.0,3,40,60	36.0,3,40,60	36.0,3,40,60	5.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	12.0,3,40,60	12.0,3,40,60	36.0,3,40,60	54.0,3,40,60	54.0,3,40,60	67.0,3,40,60	67.0,3,40,60	85.0,3,40,60	100.0,3,39,60	100.0,3,39,60	107.0,3,39,60	110.0,3,39,60	110.0,3,39,60	109.0,3,39,60	109.0,3,39,60	108.0,3,39,60	105.0,3,39,60	105.0,3,39,60	102.0,3,39,60	102.0,3,39,60	106.0,3,39,60	110.0,3,39,60	110.0,3,39,60	114.0,3,39,60	118.0,3,39,60	118.0,3,39,60	108.0,3,39,60	108.0,3,39,60	73.0,3,40,60	40.0,3,40,60	40.0,3,40,60	20.0,3,40,60	20.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	12.0,3,40,60	12.0,3,40,60	36.0,3,40,60	54.0,3,40,60	54.0,3,40,60	67.0,3,40,60	67.0,3,40,60	85.0,3,40,60	100.0,3,39,60	100.0,3,39,60	107.0,3,39,60	110.0,3,39,60	110.0,3,39,60	109.0,3,39,60	109.0,3,39,60	108.0,3,39,60	105.0,3,39,60	105.0,3,39,60	102.0,3,39,60	102.0,3,39,60	106.0,3,39,60	110.0,3,39,60	110.0,3,39,60	114.0,3,39,60	118.0,3,39,60	118.0,3,39,60	108.0,3,39,60	108.0,3,39,60	73.0,3,40,60	40.0,3,40,60	40.0,3,40,60	20.0,3,40,60	20.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
