radius:15.0
size:50^50
path:hong_kong_50x50.txt
+data:
0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	2.0,3,40,60	7.0,3,40,60	1.0,3,40,60	12.0,3,40,60	20.0,3,40,60	15.0,3,40,60	17.0,3,40,60	27.0,3,40,60	22.0,3,40,60	11.0,3,40,60	17.0,3,40,60	25.0,3,40,60	104.0,3,39,60	104.0,3,39,60	197.0,3,39,59	184.0,3,39,59	197.0,3,39,59	31.0,3,40,60	22.0,3,40,60	30.0,3,40,60	24.0,3,40,60	19.0,3,40,60	30.0,3,40,60	24.0,3,40,60	25.0,3,40,60	19.0,3,40,60	12.0,3,40,60	23.0,3,40,60	23.0,3,40,60	11.0,3,40,60	38.0,3,40,60	44.0,3,40,60	85.0,3,40,60	225.0,3,38,59	670.0,4,34,56	435.0,3,36,58	217.0,3,38,59	292.0,3,38,59	226.0,3,38,59	191.0,3,39,59	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	1.0,3,40,60	1.0,3,40,60	-4.0,3,40,60	6.0,3,40,60	1.0,3,40,60	13.0,3,40,60	12.0,3,40,60	29.0,3,40,60	26.0,3,40,60	14.0,3,40,60	19.0,3,40,60	16.0,3,40,60	38.0,3,40,60	40.0,3,40,60	130.0,3,39,60	58.0,3,40,60	35.0,3,40,60	25.0,3,40,60	27.0,3,40,60	25.0,3,40,60	36.0,3,40,60	14.0,3,40,60	30.0,3,40,60	24.0,3,40,60	24.0,3,40,60	17.0,3,40,60	-4.0,3,40,60	20.0,3,40,60	22.0,3,40,60	7.0,3,40,60	120.0,3,39,60	28.0,3,40,60	39.0,3,40,60	127.0,3,39,60	204.0,3,38,59	173.0,3,39,59	160.0,3,39,59	108.0,3,39,60	10.0,3,40,60	13.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	2.0,3,40,60	-3.0,3,40,60	5.0,3,40,60	7.0,3,40,60	22.0,3,40,60	27.0,3,40,60	20.0,3,40,60	22.0,3,40,60	23.0,3,40,60	20.0,3,40,60	24.0,3,40,60	50.0,3,40,60	137.0,3,39,60	28.0,3,40,60	21.0,3,40,60	11.0,3,40,60	25.0,3,40,60	10.0,3,40,60	25.0,3,40,60	16.0,3,40,60	1.0,3,40,60	47.0,3,40,60	22.0,3,40,60	12.0,3,40,60	12.0,3,40,60	15.0,3,40,60	27.0,3,40,60	10.0,3,40,60	12.0,3,40,60	19.0,3,40,60	56.0,3,40,60	52.0,3,40,60	119.0,3,39,60	218.0,3,38,59	159.0,3,39,59	14.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	55.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-1.0,3,40,60	-5.0,3,40,60	-1.0,3,40,60	11.0,3,40,60	38.0,3,40,60	23.0,3,40,60	9.0,3,40,60	-1.0,3,40,60	19.0,3,40,60	18.0,3,40,60	16.0,3,40,60	26.0,3,40,60	20.0,3,40,60	17.0,3,40,60	13.0,3,40,60	24.0,3,40,60	6.0,3,40,60	7.0,3,40,60	13.0,3,40,60	17.0,3,40,60	18.0,3,40,60	20.0,3,40,60	5.0,3,40,60	19.0,3,40,60	10.0,3,40,60	17.0,3,40,60	18.0,3,40,60	11.0,3,40,60	42.0,3,40,60	96.0,3,40,60	77.0,3,40,60	406.0,3,36,58	342.0,3,37,58	61.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	18.0,3,40,60	2.0,3,40,60	0.0,3,40,60	0.0,3,40,60	16.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-5.0,3,40,60	4.0,3,40,60	10.0,3,40,60	26.0,3,40,60	2.0,3,40,60	3.0,3,40,60	2.0,3,40,60	15.0,3,40,60	9.0,3,40,60	21.0,3,40,60	19.0,3,40,60	7.0,3,40,60	11.0,3,40,60	6.0,3,40,60	-5.0,3,40,60	6.0,3,40,60	5.0,3,40,60	16.0,3,40,60	8.0,3,40,60	13.0,3,40,60	4.0,3,40,60	4.0,3,40,60	5.0,3,40,60	25.0,3,40,60	8.0,3,40,60	11.0,3,40,60	12.0,3,40,60	18.0,3,40,60	64.0,3,40,60	265.0,3,38,59	285.0,3,38,59	82.0,3,40,60	16.0,3,40,60	0.0,3,40,60	0.0,3,40,60	115.0,3,39,60	37.0,3,40,60	55.0,3,40,60	0.0,3,40,60	0.0,3,40,60	49.0,3,40,60	17.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	5.0,3,40,60	10.0,3,40,60	-4.0,3,40,60	-1.0,3,40,60	1.0,3,40,60	-5.0,3,40,60	0.0,3,40,60	5.0,3,40,60	5.0,3,40,60	-3.0,3,40,60	1.0,3,40,60	17.0,3,40,60	6.0,3,40,60	14.0,3,40,60	8.0,3,40,60	9.0,3,40,60	2.0,3,40,60	2.0,3,40,60	-1.0,3,40,60	8.0,3,40,60	13.0,3,40,60	13.0,3,40,60	63.0,3,40,60	22.0,3,40,60	11.0,3,40,60	14.0,3,40,60	79.0,3,40,60	33.0,3,40,60	97.0,3,40,60	71.0,3,40,60	0.0,3,40,60	18.0,3,40,60	23.0,3,40,60	64.0,3,40,60	212.0,3,38,59	14.0,3,40,60	0.0,3,40,60	11.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	22.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	3.0,3,40,60	15.0,3,40,60	6.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	6.0,3,40,60	6.0,3,40,60	16.0,3,40,60	4.0,3,40,60	-2.0,3,40,60	4.0,3,40,60	44.0,3,40,60	67.0,3,40,60	5.0,3,40,60	18.0,3,40,60	41.0,3,40,60	114.0,3,39,60	58.0,3,40,60	13.0,3,40,60	16.0,3,40,60	53.0,3,40,60	68.0,3,40,60	32.0,3,40,60	2.0,3,40,60	34.0,3,40,60	133.0,3,39,60	247.0,3,38,59	181.0,3,39,59	119.0,3,39,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
0.0,3,40,60	0.0,3,40,60	32.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	33.0,3,40,60	22.0,3,40,60	22.0,3,40,60	15.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	3.0,3,40,60	9.0,3,40,60	-3.0,3,40,60	3.0,3,40,60	36.0,3,40,60	31.0,3,40,60	7.0,3,40,60	5.0,3,40,60	9.0,3,40,60	3.0,3,40,60	6.0,3,40,60	9.0,3,40,60	11.0,3,40,60	30.0,3,40,60	47.0,3,40,60	353.0,3,37,58	182.0,3,39,59	193.0,3,39,59	196.0,3,39,59	94.0,3,40,60	117.0,3,39,60	152.0,3,39,59	208.0,3,38,59	19.0,3,40,60	16.0,3,40,60	0.0,3,40,60	62.0,3,40,60	52.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	0.0,3,40,60	1.0,3,40,60	195.0,3,39,59	121.0,3,39,60	21.0,3,40,60	7.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	7.0,3,40,60	1.0,3,40,60	1.0,3,40,60	0.0,3,40,60	30.0,3,40,60	54.0,3,40,60	8.0,3,40,60	8.0,3,40,60	15.0,3,40,60	21.0,3,40,60	22.0,3,40,60	11.0,3,40,60	28.0,3,40,60	37.0,3,40,60	179.0,3,39,59	311.0,3,37,58	323.0,3,37,58	317.0,3,37,58	260.0,3,38,59	184.0,3,39,59	49.0,3,40,60	132.0,3,39,60	77.0,3,40,60	108.0,3,39,60	136.0,3,39,60	78.0,3,40,60	12.0,3,40,60	11.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	122.0,3,39,60	12.0,3,40,60	186.0,3,39,59	5.0,3,40,60	9.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	3.0,3,40,60	-6.0,3,40,60	25.0,3,40,60	4.0,3,40,60	11.0,3,40,60	65.0,3,40,60	11.0,3,40,60	28.0,3,40,60	10.0,3,40,60	43.0,3,40,60	33.0,3,40,60	73.0,3,40,60	305.0,3,37,58	206.0,3,38,59	128.0,3,39,60	461.0,3,36,57	517.0,4,35,57	532.0,4,35,57	353.0,3,37,58	297.0,3,38,59	54.0,3,40,60	204.0,3,38,59	271.0,3,38,59	157.0,3,39,59	30.0,3,40,60	183.0,3,39,59	139.0,3,39,60	156.0,3,39,59
